origin_airport_id,dest_airport_id,op_unique_carrier,day_of_week,time_bucket,total_flights,delay_rate,cancellation_rate
10140,10397,DL,6,Late Night/Early Morning,2,0.0,0.0
10140,10397,DL,6,Morning,46,9.090909090909092,4.3478260869565215
10140,10397,DL,7,Afternoon,46,21.73913043478261,0.0
10140,10397,DL,7,Late Night/Early Morning,2,0.0,0.0
10140,10397,DL,7,Morning,75,6.666666666666667,0.0
10140,10423,WN,1,Afternoon,41,17.073170731707318,0.0
10140,10423,WN,1,Evening,13,46.15384615384615,0.0
10140,10423,WN,1,Late Night/Early Morning,29,3.4482758620689653,0.0
10140,10423,WN,1,Morning,18,5.555555555555555,0.0
10140,10423,WN,1,Night,9,33.33333333333333,0.0
10140,10423,WN,2,Afternoon,34,23.52941176470588,0.0
10140,10423,WN,2,Evening,13,25.0,7.6923076923076925
10140,10423,WN,2,Morning,43,2.3255813953488373,0.0
10140,10423,WN,3,Afternoon,34,32.35294117647059,0.0
10140,10423,WN,3,Evening,13,15.384615384615385,0.0
10140,10423,WN,3,Morning,43,0.0,0.0
10140,10423,WN,4,Afternoon,39,17.94871794871795,0.0
10140,10423,WN,4,Evening,15,20.0,0.0
10140,10423,WN,4,Late Night/Early Morning,30,0.0,0.0
10140,10423,WN,4,Morning,20,15.0,0.0
10140,10423,WN,4,Night,9,75.0,11.11111111111111
10140,10423,WN,5,Afternoon,39,23.076923076923077,0.0
10140,10423,WN,5,Evening,16,43.75,0.0
10140,10423,WN,5,Late Night/Early Morning,28,7.142857142857142,0.0
10140,10423,WN,5,Morning,21,23.809523809523807,0.0
10140,10423,WN,5,Night,8,62.5,0.0
10140,10423,WN,6,Afternoon,21,23.809523809523807,0.0
10140,10423,WN,6,Evening,6,16.666666666666664,0.0
10140,10423,WN,6,Late Night/Early Morning,18,0.0,0.0
10140,10423,WN,6,Morning,25,12.0,0.0
10140,10423,WN,7,Afternoon,22,31.818181818181817,0.0
10140,10423,WN,7,Evening,19,21.052631578947366,0.0
10140,10423,WN,7,Late Night/Early Morning,20,0.0,0.0
10140,10423,WN,7,Morning,36,8.333333333333332,0.0
10140,10423,WN,7,Night,16,53.333333333333336,6.25
10140,10693,WN,1,Afternoon,29,31.03448275862069,0.0
10140,10693,WN,2,Afternoon,30,26.666666666666668,0.0
10140,10693,WN,3,Afternoon,30,20.689655172413794,3.3333333333333335
10140,10693,WN,4,Afternoon,30,53.333333333333336,0.0
10140,10693,WN,5,Afternoon,28,35.714285714285715,0.0
10140,10693,WN,5,Morning,2,100.0,0.0
10140,10693,WN,6,Afternoon,16,12.5,0.0
10140,10693,WN,6,Morning,13,23.076923076923077,0.0
10140,10693,WN,7,Afternoon,19,21.052631578947366,0.0
10140,10693,WN,7,Morning,10,10.0,0.0
10140,10800,WN,1,Afternoon,39,33.33333333333333,0.0
10140,10800,WN,1,Evening,4,50.0,0.0
10140,10800,WN,2,Afternoon,43,18.6046511627907,0.0
10140,10800,WN,3,Afternoon,44,6.8181818181818175,0.0
10140,10800,WN,4,Afternoon,39,38.46153846153847,0.0
10140,10800,WN,4,Evening,5,20.0,0.0
10140,10800,WN,5,Afternoon,40,37.5,0.0
10140,10800,WN,5,Evening,4,50.0,0.0
10140,10800,WN,6,Afternoon,22,13.636363636363635,0.0
10140,10800,WN,6,Evening,1,0.0,0.0
10140,10800,WN,6,Morning,8,0.0,0.0
10140,10800,WN,7,Afternoon,31,22.58064516129032,0.0
10140,10800,WN,7,Evening,7,28.57142857142857,0.0
10140,10800,WN,7,Morning,5,0.0,20.0
10140,10821,WN,1,Afternoon,34,32.35294117647059,0.0
10140,10821,WN,1,Morning,13,30.76923076923077,0.0
10140,10821,WN,2,Afternoon,34,24.242424242424242,2.9411764705882355
10140,10821,WN,2,Morning,13,0.0,0.0
10140,10821,WN,3,Afternoon,35,8.823529411764707,2.857142857142857
10140,10821,WN,3,Morning,13,7.6923076923076925,0.0
10140,10821,WN,4,Afternoon,35,34.285714285714285,0.0
10140,10821,WN,4,Morning,14,14.285714285714285,0.0
10140,10821,WN,5,Afternoon,34,23.52941176470588,0.0
10140,10821,WN,5,Morning,14,21.428571428571427,0.0
10140,10821,WN,6,Afternoon,19,36.84210526315789,0.0
10140,10821,WN,6,Late Night/Early Morning,6,16.666666666666664,0.0
10140,10821,WN,6,Morning,33,6.0606060606060606,0.0
10140,10821,WN,7,Afternoon,36,44.44444444444444,0.0
10140,10821,WN,7,Morning,24,0.0,0.0
10140,11057,AA,1,Afternoon,1,0.0,0.0
10140,11057,AA,5,Afternoon,2,0.0,0.0
10140,11057,AA,6,Afternoon,1,0.0,0.0
10140,11057,AA,7,Afternoon,2,0.0,0.0
10140,11259,WN,1,Afternoon,78,25.64102564102564,0.0
10140,11259,WN,1,Evening,43,23.25581395348837,0.0
10140,11259,WN,1,Late Night/Early Morning,39,0.0,0.0
10140,11259,WN,1,Morning,56,10.714285714285714,0.0
10140,11259,WN,2,Afternoon,72,14.285714285714285,2.7777777777777777
10140,11259,WN,2,Evening,39,24.324324324324326,5.128205128205129
10140,11259,WN,2,Late Night/Early Morning,31,3.225806451612903,0.0
10140,11259,WN,2,Morning,56,9.090909090909092,1.7857142857142858
10140,11259,WN,3,Afternoon,74,15.492957746478872,4.054054054054054
10140,11259,WN,3,Evening,40,17.94871794871795,2.5
10140,11259,WN,3,Late Night/Early Morning,30,13.333333333333334,0.0
10140,11259,WN,3,Morning,58,12.280701754385964,1.7241379310344827
10140,11259,WN,4,Afternoon,81,10.0,1.2345679012345678
10140,11259,WN,4,Evening,45,40.909090909090914,2.2222222222222223
10140,11259,WN,4,Late Night/Early Morning,41,2.4390243902439024,0.0
10140,11259,WN,4,Morning,55,13.20754716981132,3.6363636363636362
10140,11259,WN,5,Afternoon,81,19.753086419753085,0.0
10140,11259,WN,5,Evening,42,31.70731707317073,2.380952380952381
10140,11259,WN,5,Late Night/Early Morning,41,2.4390243902439024,0.0
10140,11259,WN,5,Morning,54,3.9215686274509802,5.555555555555555
10140,11259,WN,6,Afternoon,56,25.0,0.0
10140,11259,WN,6,Evening,6,16.666666666666664,0.0
10140,11259,WN,6,Late Night/Early Morning,17,0.0,5.882352941176471
10140,11259,WN,6,Morning,70,7.246376811594203,1.4285714285714286
10140,11259,WN,7,Afternoon,58,17.543859649122805,1.7241379310344827
10140,11259,WN,7,Evening,43,23.809523809523807,2.3255813953488373
10140,11259,WN,7,Late Night/Early Morning,39,5.128205128205128,0.0
10140,11259,WN,7,Morning,56,10.714285714285714,0.0
10140,11292,OO,1,Evening,40,35.8974358974359,2.5
10140,11292,OO,1,Late Night/Early Morning,25,4.0,0.0
10140,11292,OO,1,Morning,43,13.953488372093023,0.0
10140,11292,OO,2,Evening,40,28.947368421052634,5.0
10140,11292,OO,2,Late Night/Early Morning,26,4.0,3.8461538461538463
10140,11292,OO,2,Morning,43,16.27906976744186,0.0
10140,11292,OO,3,Evening,41,35.0,2.4390243902439024
10140,11292,OO,3,Late Night/Early Morning,26,8.0,3.8461538461538463
10140,11292,OO,3,Morning,44,13.636363636363635,0.0
10140,11292,OO,4,Evening,41,36.58536585365854,0.0
10140,11292,OO,4,Late Night/Early Morning,26,15.384615384615385,0.0
10140,11292,OO,4,Morning,44,11.363636363636363,0.0
10140,11292,OO,5,Evening,40,38.46153846153847,2.5
10140,11292,OO,5,Late Night/Early Morning,26,11.538461538461538,0.0
10140,11292,OO,5,Morning,44,13.636363636363635,0.0
10140,11292,OO,6,Evening,39,31.57894736842105,2.5641025641025643
10140,11292,OO,6,Late Night/Early Morning,24,0.0,0.0
10140,11292,OO,6,Morning,43,7.142857142857142,2.3255813953488373
10140,11292,OO,7,Evening,40,35.0,0.0
10140,11292,OO,7,Late Night/Early Morning,25,0.0,0.0
10140,11292,OO,7,Morning,43,13.953488372093023,0.0
10140,11292,UA,1,Afternoon,43,20.930232558139537,0.0
10140,11292,UA,1,Evening,3,0.0,0.0
10140,11292,UA,1,Morning,43,11.627906976744185,0.0
10140,11292,UA,2,Afternoon,43,23.809523809523807,2.3255813953488373
10140,11292,UA,2,Evening,3,33.33333333333333,0.0
10140,11292,UA,2,Morning,43,16.666666666666664,2.3255813953488373
10140,11292,UA,3,Afternoon,44,15.909090909090908,0.0
10140,11292,UA,3,Evening,3,0.0,0.0
10140,11292,UA,3,Morning,44,18.181818181818183,0.0
10140,11292,UA,4,Afternoon,44,18.181818181818183,0.0
10140,11292,UA,4,Evening,3,0.0,0.0
10140,11292,UA,4,Morning,44,13.953488372093023,2.272727272727273
10140,11292,UA,5,Afternoon,44,22.727272727272727,0.0
10140,11292,UA,5,Evening,3,33.33333333333333,0.0
10140,11292,UA,5,Morning,44,6.976744186046512,2.272727272727273
10140,11292,UA,6,Afternoon,43,25.581395348837212,0.0
10140,11292,UA,6,Evening,3,33.33333333333333,0.0
10140,11292,UA,6,Morning,43,20.930232558139537,0.0
10140,11292,UA,7,Afternoon,43,27.906976744186046,0.0
10140,11292,UA,7,Evening,3,0.0,0.0
10140,11292,UA,7,Morning,43,6.976744186046512,0.0
10140,11292,WN,1,Afternoon,36,38.88888888888889,0.0
10140,11292,WN,1,Evening,65,35.9375,1.5384615384615385
10140,11292,WN,1,Late Night/Early Morning,38,2.631578947368421,0.0
10140,11292,WN,1,Morning,56,16.071428571428573,0.0
10140,11292,WN,2,Afternoon,26,60.0,3.8461538461538463
10140,11292,WN,2,Evening,47,30.434782608695656,2.127659574468085
10140,11292,WN,2,Late Night/Early Morning,29,3.4482758620689653,0.0
10140,11292,WN,2,Morning,57,19.642857142857142,1.7543859649122806
10140,11292,WN,3,Afternoon,26,53.84615384615385,0.0
10140,11292,WN,3,Evening,48,29.166666666666668,0.0
10140,11292,WN,3,Late Night/Early Morning,30,0.0,0.0
10140,11292,WN,3,Morning,58,13.793103448275861,0.0
10140,11292,WN,4,Afternoon,38,30.555555555555557,5.2631578947368425
10140,11292,WN,4,Evening,67,52.23880597014925,0.0
10140,11292,WN,4,Late Night/Early Morning,41,7.317073170731707,0.0
10140,11292,WN,4,Morning,55,16.363636363636363,0.0
10140,11292,WN,5,Afternoon,37,27.027027027027028,0.0
10140,11292,WN,5,Evening,65,38.46153846153847,0.0
10140,11292,WN,5,Late Night/Early Morning,41,4.878048780487805,0.0
10140,11292,WN,5,Morning,56,8.928571428571429,0.0
10140,11292,WN,6,Afternoon,35,40.0,0.0
10140,11292,WN,6,Evening,18,33.33333333333333,0.0
10140,11292,WN,6,Late Night/Early Morning,38,5.263157894736842,0.0
10140,11292,WN,6,Morning,42,11.904761904761903,0.0
10140,11292,WN,7,Afternoon,36,44.44444444444444,0.0
10140,11292,WN,7,Evening,58,29.82456140350877,1.7241379310344827
10140,11292,WN,7,Late Night/Early Morning,22,0.0,0.0
10140,11292,WN,7,Morning,57,10.526315789473683,0.0
10140,11298,AA,1,Afternoon,35,37.142857142857146,0.0
10140,11298,AA,1,Evening,26,38.46153846153847,0.0
10140,11298,AA,1,Late Night/Early Morning,49,11.11111111111111,8.16326530612245
10140,11298,AA,1,Morning,117,19.81981981981982,5.128205128205129
10140,11298,AA,2,Afternoon,35,32.35294117647059,2.857142857142857
10140,11298,AA,2,Evening,27,25.0,11.11111111111111
10140,11298,AA,2,Late Night/Early Morning,47,10.869565217391305,2.127659574468085
10140,11298,AA,2,Morning,116,13.274336283185843,2.586206896551724
10140,11298,AA,3,Afternoon,34,33.33333333333333,11.764705882352942
10140,11298,AA,3,Evening,27,28.000000000000004,7.407407407407407
10140,11298,AA,3,Late Night/Early Morning,51,5.88235294117647,0.0
10140,11298,AA,3,Morning,120,27.82608695652174,4.166666666666667
10140,11298,AA,4,Afternoon,38,55.55555555555556,5.2631578947368425
10140,11298,AA,4,Evening,22,36.36363636363637,0.0
10140,11298,AA,4,Late Night/Early Morning,50,4.25531914893617,6.0
10140,11298,AA,4,Morning,121,13.793103448275861,4.132231404958677
10140,11298,AA,5,Afternoon,37,47.05882352941176,8.108108108108109
10140,11298,AA,5,Evening,20,40.0,0.0
10140,11298,AA,5,Late Night/Early Morning,50,6.122448979591836,2.0
10140,11298,AA,5,Morning,120,17.094017094017094,2.5
10140,11298,AA,6,Afternoon,36,50.0,5.555555555555555
10140,11298,AA,6,Evening,25,40.909090909090914,12.0
10140,11298,AA,6,Late Night/Early Morning,49,21.27659574468085,4.081632653061225
10140,11298,AA,6,Morning,110,24.770642201834864,0.9090909090909091
10140,11298,AA,7,Afternoon,39,40.54054054054054,5.128205128205129
10140,11298,AA,7,Evening,21,55.00000000000001,4.761904761904762
10140,11298,AA,7,Late Night/Early Morning,49,2.083333333333333,2.0408163265306123
10140,11298,AA,7,Morning,121,17.24137931034483,4.132231404958677
10140,11298,MQ,1,Afternoon,30,44.827586206896555,3.3333333333333335
10140,11298,MQ,1,Evening,18,22.22222222222222,0.0
10140,11298,MQ,1,Morning,20,25.0,0.0
10140,11298,MQ,2,Afternoon,29,17.857142857142858,3.4482758620689653
10140,11298,MQ,2,Evening,12,41.66666666666667,0.0
10140,11298,MQ,2,Late Night/Early Morning,1,0.0,0.0
10140,11298,MQ,2,Morning,17,0.0,5.882352941176471
10140,11298,MQ,3,Afternoon,31,25.0,9.67741935483871
10140,11298,MQ,3,Evening,13,38.46153846153847,0.0
10140,11298,MQ,3,Morning,17,11.76470588235294,0.0
10140,11298,MQ,4,Afternoon,35,17.647058823529413,2.857142857142857
10140,11298,MQ,4,Evening,22,36.36363636363637,0.0
10140,11298,MQ,4,Morning,18,16.666666666666664,0.0
10140,11298,MQ,5,Afternoon,29,28.57142857142857,3.4482758620689653
10140,11298,MQ,5,Evening,16,31.25,0.0
10140,11298,MQ,5,Morning,21,9.523809523809524,0.0
10140,11298,MQ,6,Afternoon,29,32.142857142857146,3.4482758620689653
10140,11298,MQ,6,Evening,10,33.33333333333333,10.0
10140,11298,MQ,6,Morning,25,16.0,0.0
10140,11298,MQ,7,Afternoon,35,34.285714285714285,0.0
10140,11298,MQ,7,Evening,21,20.0,4.761904761904762
10140,11298,MQ,7,Morning,16,31.25,0.0
10140,11298,OO,1,Afternoon,3,0.0,0.0
10140,11298,OO,1,Morning,1,0.0,0.0
10140,11298,OO,2,Afternoon,3,66.66666666666666,0.0
10140,11298,OO,2,Morning,4,0.0,0.0
10140,11298,OO,3,Afternoon,3,33.33333333333333,0.0
10140,11298,OO,4,Afternoon,3,0.0,0.0
10140,11298,OO,5,Afternoon,3,33.33333333333333,0.0
