ORIGIN_AIRPORT_ID,DEST_AIRPORT_ID,DEP_HOUR,total_flights,delay_rate
10257,11292,16,2,0.0
10257,11292,17,2,50.0
10257,11298,5,25,4.0
10257,11298,6,3,33.33333333333333
10257,11298,7,1,100.0
10257,11433,5,25,0.0
10257,11433,6,2,0.0
10257,11433,7,2,100.0
10257,11433,9,14,0.0
10257,11433,10,4,25.0
10257,11433,16,14,0.0
10257,11433,17,3,0.0
10257,11433,18,13,0.0
10257,11697,5,2,0.0
10257,11697,6,16,0.0
10257,11697,7,4,25.0
10257,11697,10,1,0.0
10257,12889,17,11,18.181818181818183
10257,12889,18,2,100.0
10257,12889,19,4,0.0
10257,13204,6,16,0.0
10257,13204,7,18,5.555555555555555
10257,13204,8,17,23.52941176470588
10257,13204,12,1,0.0
10257,13204,13,3,0.0
10257,13204,14,2,0.0
10257,13204,15,2,50.0
10257,13204,16,3,33.33333333333333
10257,13204,17,1,0.0
10257,13232,5,15,6.666666666666667
10257,13232,6,15,6.666666666666667
10257,13232,12,7,0.0
10257,13232,13,8,12.5
10257,13232,14,2,50.0
10257,13232,17,7,0.0
10257,13232,18,23,4.3478260869565215
10257,13577,17,6,0.0
10257,13577,18,3,33.33333333333333
10257,13930,5,26,7.6923076923076925
10257,13930,6,28,7.142857142857142
10257,13930,7,4,25.0
10257,13930,8,1,100.0
10257,13930,11,21,0.0
10257,13930,12,9,11.11111111111111
10257,13930,13,21,4.761904761904762
10257,13930,14,8,62.5
10257,13930,16,19,52.63157894736842
10257,13930,17,22,4.545454545454546
10257,13930,18,28,46.42857142857143
10257,13930,19,5,100.0
10257,13930,20,1,100.0
10257,14082,17,8,0.0
10257,14112,19,7,28.57142857142857
10257,14112,20,2,0.0
10257,15304,12,3,0.0
10268,13930,5,22,0.0
10268,13930,6,3,33.33333333333333
10268,13930,7,1,100.0
10268,13930,8,2,0.0
10268,13930,10,1,100.0
10268,13930,11,1,100.0
10268,13930,15,12,33.33333333333333
10268,13930,16,8,12.5
10268,13930,17,2,50.0
10279,10423,10,4,0.0
10279,10423,12,12,0.0
10279,10423,13,1,0.0
10279,11259,5,16,0.0
10279,11259,6,12,8.333333333333332
10279,11259,7,2,50.0
10279,11259,9,11,0.0
10279,11259,10,1,100.0
10279,11259,11,4,25.0
10279,11259,12,4,0.0
10279,11259,13,19,10.526315789473683
10279,11259,14,7,42.857142857142854
10279,11259,15,5,0.0
10279,11259,16,4,50.0
10279,11259,17,10,0.0
10279,11259,18,6,33.33333333333333
10279,11259,19,1,100.0
10279,11259,20,1,100.0
10279,11292,7,26,0.0
10279,11292,8,4,100.0
10279,11292,17,17,17.647058823529413
10279,11292,18,6,100.0
10279,11292,19,2,100.0
10279,11292,20,1,100.0
10279,11298,4,27,3.7037037037037033
10279,11298,5,12,8.333333333333332
10279,11298,6,20,10.0
10279,11298,7,1,0.0
10279,11298,10,30,6.666666666666667
10279,11298,12,21,0.0
10279,11298,13,3,100.0
10279,11298,14,27,7.4074074074074066
10279,11298,15,2,100.0
10279,11298,16,23,8.695652173913043
10279,11298,17,5,100.0
10279,11298,18,24,20.833333333333336
10279,11298,19,1,0.0
10279,11298,20,9,22.22222222222222
10279,11298,21,1,100.0
10279,12889,12,3,0.0
10279,12889,13,1,100.0
10279,12889,15,4,0.0
10279,12889,16,7,0.0
10279,12889,17,11,36.36363636363637
10279,12889,18,2,100.0
10279,12889,19,1,100.0
10279,12889,21,1,100.0
10299,10165,10,2,0.0
10299,10165,11,2,0.0
10299,10165,13,2,100.0
10299,10170,6,27,0.0
10299,10170,7,3,66.66666666666666
10299,10170,13,24,0.0
10299,10170,14,5,100.0
10299,10170,18,27,0.0
10299,10170,19,3,100.0
10299,10245,15,28,0.0
10299,10245,16,2,50.0
10299,10397,20,10,20.0
10299,10551,7,4,0.0
10299,10551,10,20,0.0
10299,10551,11,6,16.666666666666664
10299,10551,17,22,0.0
10299,10551,18,6,100.0
10299,10551,19,1,100.0
10299,10754,14,27,3.7037037037037033
10299,10754,15,3,100.0
10299,10926,13,30,3.3333333333333335
10299,11292,1,1,100.0
10299,11292,14,7,0.0
10299,11292,22,6,0.0
10299,11292,23,29,3.4482758620689653
10299,11298,1,1,100.0
10299,11298,6,2,0.0
10299,11298,20,25,24.0
10299,11298,21,1,100.0
10299,11298,22,2,100.0
10299,11298,23,1,100.0
10299,11336,9,4,0.0
10299,11336,10,25,8.0
10299,11336,11,1,100.0
10299,11433,18,1,0.0
10299,11433,22,7,0.0
10299,11618,20,1,0.0
10299,11630,7,28,0.0
10299,11630,8,2,50.0
10299,11630,10,30,0.0
10299,12173,19,26,0.0
10299,12173,20,4,25.0
10299,12264,20,6,0.0
10299,12264,21,1,100.0
10299,12266,21,1,0.0
10299,12266,22,23,0.0
10299,12523,6,28,7.142857142857142
10299,12523,7,1,100.0
